1;Lorem ipsum dolor sit amet, steht für Blindtext welcher verwendet wird um Textfelder im Design zu prüfen ohne das der Inhalt von der eigentlichen Aufgabe ablenkt?;Ja
1;Alle meine Entchen schwimmen ...?;auf dem See;
1;Bier her, Bier her, oder ...?;ich fall um;
1;Der Mai ist gekommen, die Bäume schlagen ...?;aus;
1;Hoppe, Hoppe Reiter, wenn er fällt, dann ...?;schreit er;
1;Last, but not ...?;least;
1;Muss i´denn, muss i´denn ...?;zum Städtele hinaus;
1;Schwarzbraun ist die ..?;Haselnuss;
1;Das Startkommando bei einem Sprint lautet: Auf die Plätze, fertig, ...?;los  ;
1;Der amerikanische Präsident stammt in der Regel aus den Reihen der Demokraten oder der ...?;Republikaner;
1;Die Zeichentrickfiguren Tom und Jerry sind ...?;Katze und Maus;
1;Es wird kein Nobelpreis vergeben für ...?;Wettervorhersagen;
1;Etwas Unsinniges ist ...? ;Humbug;
1;In der deutschen Nationalhymne heißt es :Einigkeit und Recht und ...?;Freiheit;
1;In welcher Stadt leben Micky Maus und Donald Duck?;Entenhausen;
1;Mit einem Besen wird ...?;gefegt;
1;Mit welchem griechischen Wort wird das Weltall bezeichnet?;Kosmos;
1;Mit welchen Worten bekunden Franzosen starke Zuneigung?;je t´aime;
1;Wann steht der große Zeiger einer Uhr auf der 12?;zur vollen Stunde;
1;Was bezeichnet man im Sport als Kontrahenten?;Gegner;
1;Was fällt nicht unter den Oberbegriff Handarbeit?;prügeln;
1;Was fällt nicht weit vom Stamm?;Apfel;
1;Was gehört zur Grundausstattung für den Mathematikunterricht?;Taschenrechner;
1;Was gibt man bei der Bundestagswahl ab?;Stimme;
1;Was hat Björn Borg fünf mal hintereinander gewonnen?;Wimbledon;
1;Was ist auf der Ein-Dollar-Banknoten der USA abgebildet?;George Washington;
1;Was ist der ADAC?;Automobilclub;
1;Was ist der schwarze Kontinent?;Afrika;
1;Was ist die Heilige Schrift der Christen?;Bibel;
1;Was ist die Touristenattraktion von Pisa?;schiefer Turm;
1;Was ist ein Kabeljau?;Speisefisch;
1;Was muß man frankieren?;Brief;
1;Was rutscht den Hang hinunter und begräbt ganze Dörfer?;Lawine;
1;Was steht im Mittelpunkt der Großen Moschee in Mekka?;Kaaba;
1;Was verkauft ein Juwelier?;Schmuck;
1; Was wird auf einem Lottoschein angekreuzt? ;Zahlen;
1;Was wird in Volt gemessen?;elektrische Spannung;
1;Welche alte ostasiatische Kampfsportart perfektionierte Bruce Lee?;Kung Fu;
1;Welche bekannte Illustrierte aus Hamburg erscheint jeden Donnerstag?;Stern;
1;Welche dieser Nüsse kann man nicht essen?;Kopfnuss;
1;Welche Säge kann man nicht im Baumarkt kaufen?;Nervensäge;
1;Welche Sportart wird auch Pingpong genannt?;Tischtennis;
1;Welche Wetterlage herrscht fast immer über den Azoren?;Hoch;
1;Welcher Begriff steht für einen Kuchen mit Mandelmasse?;Bienenstich;
1;Welcher der folgenden Begriffe bezeichnet kein Tier?;Laufmasche;
1;Welcher dieser Kleinwagen wurde in der DDR gebaut?;Trabant;
